Character,Image,Color,1.0A,1.0B,1.1A,1.1B,1.2A,1.2B,1.3A,1.3B,1.4A,1.4B,1.5A,1.5B,1.6A,1.6B,2.0A,2.0B,2.1A,2.1B,2.2A,2.2B,2.3A,2.3B,2.4A,2.4B,2.5A,2.5B,2.6A,2.6B,2.7A,2.7B,2.8A,2.8B,3.0A,3.0B,3.1A,3.1B,3.2A,3.2B,3.3A,3.3B,3.4A,3.4B,3.5A,3.5B,3.6A,3.6B,3.7A,3.7B,3.8A,3.8B,4.0A,4.0B,4.1A,4.1B,4.2A,4.2B,4.3A,4.3B,4.4A,4.4B,4.5A,4.5B,4.6A,4.6B,4.7A,4.7B,4.8A,4.8B,5.0A,5.0B,5.1A,5.1B,5.2A,5.2B,5.3A,5.3B,5.4A,5.4B,5.5A,5.5B,5.6A,5.6B,5.7A,5.7B,5.8A,5.8B,6.0A,6.0B,6.1A,6.1B,6.2A,6.2B,6.3A,6.3B,6.4A,6.4B,6.5A,6.5B,6.6A,6.6B,6.7A
Ningguang,https://tierlist-plus.netlify.app/headshots/Ningguang.png,Geo,5,6,6,6,5,6,9,8,8,8,9,10,10,11,11,12,14,14,14,14,14,13,12,12,12,12,13,13,13,15,16,16,17,18,19,19,20,20,21,21,22,22,22,22,22,23,23,23,23,23,24,24,25,26,26,26,27,27,28,28,27,27,30,30,32,32,32,32,33,34,34,34,35,35,36,36,38,38,39,39,40,40,41,41,41,41,39,40,41,41,43,43,43,44,45,45,45,45,45,46,47
Noelle,https://tierlist-plus.netlify.app/headshots/Noelle.png,Geo,6,7,8,8,9,8,6,9,9,9,10,11,11,16,12,13,15,15,15,15,15,10,10,10,10,10,11,11,11,16,17,17,18,19,20,20,21,21,22,22,23,23,23,23,23,24,24,24,24,24,25,25,26,27,27,27,19,19,22,22,21,21,22,22,23,23,23,23,24,25,25,25,26,26,28,28,30,30,31,31,31,31,32,32,32,32,31,32,33,33,36,36,36,37,38,38,38,38,38,39,41
Ororon,https://tierlist-plus.netlify.app/headshots/Ororon.png,Electro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qiqi,https://tierlist-plus.netlify.app/headshots/Qiqi.png,Cryo,,,,,,,,,,,,,,,,,,,,,,20,21,21,21,21,22,22,22,21,22,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prune,https://tierlist-plus.netlify.app/headshots/Prune.png,Anemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiden,https://tierlist-plus.netlify.app/headshots/Raiden.png,Electro,,,,,,,,,,,,,,,,,6,6,6,6,6,4,5,5,5,5,5,5,5,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,6,9,9,9,9,9,11,11,11,11,13,13,13,13,17,17,17,17,18,19,20,20,23,23,23,24,25,25,25,25,25,26,28
Razor,https://tierlist-plus.netlify.app/headshots/Razor.png,Electro,3,4,5,5,4,5,8,10,10,10,11,12,12,10,13,14,16,16,16,16,16,18,18,18,18,18,19,19,19,20,21,21,22,21,22,23,24,24,25,25,26,26,26,26,26,27,27,27,27,27,28,29,30,31,31,31,31,31,32,32,31,31,31,31,33,33,33,33,34,35,35,35,36,36,37,37,39,39,40,40,41,41,42,42,42,42,40,41,42,42,14,14,14,15,16,16,16,16,17,18,21
Rosaria,https://tierlist-plus.netlify.app/headshots/Rosaria.png,Cryo,,,,,,,,,,12,13,15,15,13,20,22,24,25,25,25,25,22,24,24,24,24,25,25,25,23,24,24,25,24,26,27,28,28,29,29,30,30,31,31,31,33,33,33,33,33,34,33,34,35,35,35,35,35,36,36,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandrone,https://tierlist-plus.netlify.app/headshots/Sandrone.png,Cryo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Sara,https://tierlist-plus.netlify.app/headshots/Sara.png,Electro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sayu,https://tierlist-plus.netlify.app/headshots/Sayu.png,Anemo,,,,,,,,,,,,,,,,17,19,19,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sethos,https://tierlist-plus.netlify.app/headshots/Sethos.png,Electro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,25,25,26,27,27,27,28,28,24,24,24,24,25,25,25,25,26,26,26,26,26,27,28,28,32,32,32,33,34,34,34,34,34,35,37
Shenhe,https://tierlist-plus.netlify.app/headshots/Shenhe.png,Cryo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shinobu,https://tierlist-plus.netlify.app/headshots/Shinobu.png,Electro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigewinne,https://tierlist-plus.netlify.app/headshots/Sigewinne.png,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skirk,https://tierlist-plus.netlify.app/headshots/Skirk.png,Cryo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,2,2,2,2,2,2,4,5,5,5,5,5,5,5,7
Sucrose,https://tierlist-plus.netlify.app/headshots/Sucrose.png,Anemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29,30,30,30,30,31,31,31,31,,,,,,,,,,,,,,,
Tartaglia,https://tierlist-plus.netlify.app/headshots/Tartaglia.png,Hydro,,,3,3,2,3,3,4,4,4,4,7,7,7,8,9,10,10,10,10,10,9,9,9,9,9,10,10,10,8,10,10,11,10,8,8,8,7,7,7,9,9,9,9,9,9,9,9,9,9,10,10,11,9,9,9,10,9,10,10,10,10,11,11,11,11,11,11,13,14,14,14,15,15,17,17,17,17,18,18,18,18,19,19,19,19,19,20,21,21,24,24,24,25,26,26,26,26,26,27,29
Thoma,https://tierlist-plus.netlify.app/headshots/Thoma.png,Pyro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tighnari,https://tierlist-plus.netlify.app/headshots/Tighnari.png,Dendro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,9,9,9,9,10,10,8,8,8,8,8,8,8,8,8,8,9,9,10,12,12,12,13,13,12,12,12,12,15,15,16,16,16,16,17,18,18,18,19,19,20,20,20,20,21,21,21,21,23,23,23,23,23,24,25,25,31,31,31,32,33,33,33,33,33,34,36
Traveler (Anemo),https://tierlist-plus.netlify.app/headshots/Traveler%20%28Anemo%29.png,Anemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traveler (Dendro),https://tierlist-plus.netlify.app/headshots/Traveler%20%28Dendro%29.png,Dendro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traveler (Electro),https://tierlist-plus.netlify.app/headshots/Traveler%20%28Electro%29.png,Electro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traveler (Geo),https://tierlist-plus.netlify.app/headshots/Traveler%20%28Geo%29.png,Geo,7,8,10,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traveler (Hydro),https://tierlist-plus.netlify.app/headshots/Traveler%20%28Hydro%29.png,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traveler (Pyro),https://tierlist-plus.netlify.app/headshots/Traveler%20%28Pyro%29.png,Pyro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varesa,https://tierlist-plus.netlify.app/headshots/Varesa.png,Electro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,5,5,5,5,5,5,3,3,5,5,5,6,6,6,6,6,7,7,8
Venti,https://tierlist-plus.netlify.app/headshots/Venti.png,Anemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,15,16,17,17,17,17,11,12,13
Wanderer,https://tierlist-plus.netlify.app/headshots/Wanderer.png,Anemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,12,12,12,12,12,12,12,12,12,12,13,13,14,14,14,14,15,15,17,17,16,16,16,16,17,17,17,17,18,19,19,19,20,20,21,21,21,21,22,22,22,22,24,24,24,24,24,25,26,26,25,25,25,26,27,27,27,27,27,28,30
Wriothesley,https://tierlist-plus.netlify.app/headshots/Wriothesley.png,Cryo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,11,11,11,11,11,11,9,9,9,9,9,9,10,11,11,11,11,11,12,12,12,12,14,14,14,14,15,15,15,15,13,14,15,15,19,19,19,20,21,21,21,21,21,22,18
Varka,https://tierlist-plus.netlify.app/headshots/Varka.png,Anemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,6,6,5
Xiangling,https://tierlist-plus.netlify.app/headshots/Xiangling.png,Pyro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xianyun,https://tierlist-plus.netlify.app/headshots/Xianyun.png,Anemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiao,https://tierlist-plus.netlify.app/headshots/Xiao.png,Anemo,,,,,,,2,3,3,3,3,3,3,4,3,5,5,5,5,5,5,7,7,7,7,7,8,8,8,7,8,8,9,9,10,10,10,8,9,9,15,15,15,15,15,15,15,15,15,15,16,16,17,18,18,18,20,20,16,16,15,15,12,12,12,12,12,12,14,15,15,15,16,16,14,14,15,15,16,16,17,17,18,18,18,18,17,18,19,19,22,22,22,23,24,24,24,24,24,25,27
Xilonen,https://tierlist-plus.netlify.app/headshots/Xilonen.png,Geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xingqiu,https://tierlist-plus.netlify.app/headshots/Xingqiu.png,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinyan,https://tierlist-plus.netlify.app/headshots/Xinyan.png,Pyro,,,,,7,9,10,11,11,11,12,16,16,14,16,18,20,20,20,20,20,23,25,25,25,25,26,26,26,24,25,25,26,25,27,28,29,29,30,30,31,31,32,32,32,34,34,34,34,34,35,34,35,36,36,36,36,36,37,37,36,36,33,33,35,35,35,35,36,37,37,37,38,38,39,39,41,41,42,42,43,43,44,44,44,44,42,43,44,44,45,45,45,46,47,47,47,47,47,48,49
Yae Miko,https://tierlist-plus.netlify.app/headshots/Yae%20Miko.png,Electro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yanfei,https://tierlist-plus.netlify.app/headshots/Yanfei.png,Pyro,,,,,,,,,,,7,8,8,8,10,11,13,13,13,13,13,11,11,11,11,11,12,12,12,12,12,12,13,13,15,15,16,16,17,17,18,18,18,18,18,18,18,18,18,18,19,19,20,21,21,21,22,22,24,24,23,23,24,24,26,26,26,26,27,28,28,28,29,29,30,30,32,32,33,33,34,34,35,35,35,35,34,35,36,36,39,39,39,40,41,41,41,41,41,42,43
Yaoyao,https://tierlist-plus.netlify.app/headshots/Yaoyao.png,Dendro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yelan,https://tierlist-plus.netlify.app/headshots/Yelan.png,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,9,10,11,13,13,13,15,16,16,17,17,17,17,17,17,17,17,17,17,18,18,19,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoimiya,https://tierlist-plus.netlify.app/headshots/Yoimiya.png,Pyro,,,,,,,,,,,,,,,,6,7,7,7,7,7,8,8,8,8,8,9,9,9,11,11,11,12,12,14,14,14,10,11,11,13,13,13,13,13,13,13,13,13,13,14,14,15,16,15,15,16,16,19,19,18,18,18,18,19,19,19,19,20,21,21,21,22,22,23,23,23,23,24,24,24,24,25,25,25,25,25,26,27,27,26,26,26,27,28,28,28,28,28,29,31
Yun Jin,https://tierlist-plus.netlify.app/headshots/Yun%20Jin.png,Geo,,,,,,,,,,,,,,,,,,,,,,,23,23,23,23,24,24,24,26,27,27,28,28,30,31,32,32,33,33,34,34,35,35,35,37,37,37,37,37,38,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhongli,https://tierlist-plus.netlify.app/headshots/Zhongli.png,Geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zibai,https://tierlist-plus.netlify.app/headshots/Zibai.png,Geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,1,1,1,1,1
